,index,name,Coordinates,lat,lon
511,511,Polizeihubschrauberstaffel Bayern,"48.34772129999999, 11.7489596",48.34772129999999, 11.7489596
512,512,Flugplatz Dachau-GrÃ¶benried,"48.2287013, 11.4261486",48.2287013, 11.4261486
513,513,ASM Airport Service GmbH Munich,"48.354136, 11.75389",48.354136, 11.75389
514,514,Rotorflug GmbH,"48.54928, 11.86181",48.54928, 11.86181
515,515,D Asia Travels Malaysia Tour & Ticketing Agency,"3.1445544, 101.7139917",3.1445544, 101.7139917
516,516,DR Group Holdings Sdn Bhd,"3.069357, 101.599784",3.069357, 101.599784
517,517,Kuala Lumpur International Airport 2,"2.7430884, 101.6864393",2.7430884, 101.6864393
518,518,AirAsia - LCC HUB @ klia2,"2.7410452, 101.6876483",2.7410452, 101.6876483
519,519,Kuala Lumpur International Airport,"2.7347467, 101.7051095",2.7347467, 101.7051095
520,520,Agriquip Machinery Sdn. Bhd.,"2.8133805, 101.6514302",2.8133805, 101.6514302
521,521,Putrajaya Recreational Airport,"2.9010975, 101.6650718",2.9010975, 101.6650718
522,522,Paramotor Flying Site,"2.9073302, 101.6301177",2.9073302, 101.6301177
523,523,AgustaWestland Malaysia Sdn Bhd,"3.1246183, 101.5620517",3.1246183, 101.5620517
524,524,Solaire Sdn Bhd (Solaire Helicopters),"3.13321, 101.5528",3.13321, 101.5528
525,525,APMM Subang Air Station,"3.1252361, 101.5490875",3.1252361, 101.5490875
526,526,SOLAIRE SDN BHD,"3.1332279, 101.5537585",3.1332279, 101.5537585
527,527,Sultan Abdul Aziz Shah Airport,"3.1328029, 101.5543995",3.1328029, 101.5543995
528,528,Cempaka Helicopter Corporation Sdn Bhd,"3.133216, 101.552804",3.133216, 101.552804
529,529,Taxi To Klia Mpvlimocab All Type,"3.1974015, 101.7107963",3.1974015, 101.7107963
530,530,KLIA-REDCAB - Airport Taxi Services,"3.212011, 101.641012",3.212011, 101.641012
531,531,JKids Playground & Kids Party,"2.7543543, 101.7011363",2.7543543, 101.7011363
532,532,WMKK (KUL) Runway 14L/32R,"2.7635953, 101.7118368",2.7635953, 101.7118368
533,533,"KLIA, To Arrival","2.7577705999999997, 101.7073646",2.7577705999999997, 101.7073646
534,534,KLIA Perlepasan Antarabangsa,"2.7545224, 101.7033662",2.7545224, 101.7033662
535,535,Vatican City Heliport,"41.9020275, 12.446432099999999",41.9020275, 12.446432099999999
536,536,Leonardo da Vinci International Airport,"41.7998868, 12.2462384",41.7998868, 12.2462384
537,537,Rome Ciampino Airport,"41.8000198, 12.5933595",41.8000198, 12.5933595
538,538,Roma Urbe Airport,"41.9525198, 12.5045443",41.9525198, 12.5045443
539,539,Military Airport F. Baracca,"41.8695928, 12.5591833",41.8695928, 12.5591833
540,540,Mario De Bernardi Military Airport,"41.654446, 12.446111",41.654446, 12.446111
541,541,YourPersonalJames.com,"41.9400304, 12.554678",41.9400304, 12.554678
542,542,Hotels in Fiumicino Domus Lina,"41.771458, 12.228876",41.771458, 12.228876
543,543,Gruppo Aeromodellistico Pontina,"41.6915404, 12.5590249",41.6915404, 12.5590249
544,544,Corridori Logistica Aeroportuale,"41.75955039999999, 12.231793",41.75955039999999, 12.231793
545,545,Area Tecnica,"41.7877153, 12.2648795",41.7877153, 12.2648795
546,546,Rome Airport Taxi,"41.7827142, 12.2708667",41.7827142, 12.2708667
547,547,parapendio tandem roma,"41.9403925, 12.365221",41.9403925, 12.365221
548,548,Heliport - San Pietro Hospital Fatebenefratelli,"41.964741599999996, 12.4524028",41.964741599999996, 12.4524028
549,549,Rome Shuttle Service,"41.914155, 12.520767",41.914155, 12.520767
550,550,Elipista,"41.9849732, 12.4463618",41.9849732, 12.4463618
551,551,ElisemRoma Scuola di Volo Elicotteri,"41.95333120000001, 12.5041214",41.95333120000001, 12.5041214
552,552,Carabinieri Comando Presidio Aeroporto Roma Ciampino,"41.7953437, 12.5909346",41.7953437, 12.5909346
553,553,Signature Flight Support CIA - Ciampino Airport,"41.797481, 12.591412",41.797481, 12.591412
554,554,Military Airport Luigi Bourlot,"42.0848198, 12.2199869",42.0848198, 12.2199869
555,555,Istanbul Ataturk Airport,"40.9829888, 28.8104425",40.9829888, 28.8104425
556,556,Airport Best Hotel,"40.99326300000001, 28.837499",40.99326300000001, 28.837499
557,557,Sabiha Gokcen International Airport,"40.905371, 29.3168603",40.905371, 29.3168603
558,558,Artemia Islak Hacim EkipmanlarÄ±,"41.06011900000001, 28.969873",41.06011900000001, 28.969873
559,559,Setair,"40.994642999999996, 28.801807",40.994642999999996, 28.801807
560,560,kÃ¼raraz kargo,"41.01686979999999, 28.9470535",41.01686979999999, 28.9470535
561,561,Tav Tepe Akfen Yatirim,"40.9782875, 28.8253226",40.9782875, 28.8253226
562,562,BurulaÅŸ Helitaks Sisli,"41.0352925, 28.9485777",41.0352925, 28.9485777
563,563,Deniz UÃ§aÄŸÄ± HaliÃ§ Balat,"41.0356367, 28.9487381",41.0356367, 28.9487381
564,564,River Plaza Istanbul Heliport,"41.077064, 29.009269",41.077064, 29.009269
565,565,Alo Bilet HattÄ±,"40.991928, 29.120775",40.991928, 29.120775
566,566,Hezarfen Airport,"41.10395509999999, 28.5484382",41.10395509999999, 28.5484382
567,567,Airport / Sabiha Gokcen Istanbul,"40.9076574, 29.3158609",40.9076574, 29.3158609
568,568,Sabiha GÃ¶kÃ§en havalimanÄ± VÄ°P,"40.905659, 29.3126513",40.905659, 29.3126513
